,,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,전년대비율(%),,
항구명,외내항구분,수출입구분,입출항구분상세,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,증감_계,증감_적,증감_공
합계,합계,,,6684885.0,5123186.0,1561699.0,7671745.0,5893727.0,1778018.0,9622948.0,7752227.0,1870721.0,1.1348696E7,9364588.0,1984108.0,1.2464172E7,1.0123309E7,2340863.0,1.3775477E7,1.1187239E7,2588238.0,1.4452635E7,1.1663261E7,2789374.0,1.5186222E7,1.2175181E7,3011041.0,1.66622E7,1.3190235E7,3471965.0,1.6978597E7,1.3348843E7,3629754.0,1.5388645E7,1.2378952E7,3009693.0,1.818495675E7,1.45548335E7,3630123.25,2.026770725E7,1.620835525E7,4059352.0,2.118184975E7,1.7124356E7,4057493.75,2.21317305E7,1.8124354E7,4007376.5,2.33565575E7,1.909313225E7,4263425.25,2.41730555E7,1.973726325E7,4435792.25,2.438537775E7,1.9913424E7,4471953.75,2.5774921E7,2.092807975E7,4846841.25,2.719243825E7,2.23444585E7,4847979.75,2.746229175E7,2.237039825E7,5091893.5,2.725435375E7,2.2228201E7,5026152.75,2.818447075E7,2.361368425E7,4570786.5,2.7134964E7,2.243671775E7,4698246.25,2.847757375E7,2.312339225E7,5354181.5,2.996935375E7,2.4364269E7,5605084.75,3.038533075E7,2.4370574E7,6014756.75,1.3880079079116037,0.025878059382788976,7.308934980867154
,외항,합계,,6420225.0,4904545.0,1515680.0,7401407.0,5662301.0,1739106.0,9334370.0,7513302.0,1821068.0,1.1139293E7,9192614.0,1946679.0,1.2196025E7,9880855.0,2315170.0,1.3562221E7,1.1004596E7,2557625.0,1.4280033E7,1.1514743E7,2765290.0,1.5123745E7,1.2123051E7,3000694.0,1.663436E7,1.3170443E7,3463917.0,1.6959883E7,1.3333397E7,3626486.0,1.5286689E7,1.2313497E7,2973192.0,1.802480925E7,1.44549675E7,3569841.75,2.00639695E7,1.608974925E7,3974220.25,2.103430025E7,1.703637975E7,3997920.5,2.2092147E7,1.8092286E7,3999861.0,2.3345427E7,1.908374925E7,4261677.75,2.41631375E7,1.972817675E7,4434960.75,2.437612175E7,1.99048255E7,4471296.25,2.56097055E7,2.0829653E7,4780052.5,2.718454925E7,2.23368205E7,4847728.75,2.745574575E7,2.236409225E7,5091653.5,2.724514975E7,2.2220069E7,5025080.75,2.817079325E7,2.360030925E7,4570484.0,2.7119865E7,2.242296825E7,4696896.75,2.847213025E7,2.311844825E7,5353682.0,2.996935375E7,2.4364269E7,5605084.75,3.037957475E7,2.4367474E7,6012100.75,1.368801621222815,0.01315450917078742,7.2615494350910526
,,수출입,계,5557768.0,4073885.0,1483883.0,6137152.0,4452320.0,1684832.0,6224505.0,4527466.0,1697039.0,6935476.0,5153617.0,1781859.0,7597989.0,5459500.0,2138489.0,8405555.0,6065046.0,2340509.0,8751956.0,6288809.0,2463147.0,9455584.0,6717348.0,2738236.0,1.0491584E7,7422130.0,3069454.0,1.0806096E7,7655266.0,3150830.0,9590044.0,6990954.0,2599090.0,1.141369025E7,8260726.5,3152963.75,1.236503325E7,8924162.0,3440871.25,1.254892075E7,9062486.75,3486434.0,1.278964575E7,9341372.75,3448273.0,1.3380624E7,9808715.5,3571908.5,1.3463626E7,9787777.5,3675848.5,1.4081647E7,1.0224923E7,3856724.0,1.491818675E7,1.074237475E7,4175812.0,1.514321775E7,1.111333475E7,4029883.0,1.520503525E7,1.11412235E7,4063811.75,1.4785075E7,1.072555425E7,4059520.75,1.5512587E7,1.14091645E7,4103422.5,1.50044095E7,1.09537395E7,4050670.0,1.576499175E7,1.1084765E7,4680226.75,1.6114E7,1.132810175E7,4785898.25,1.59941835E7,1.122892025E7,4765263.25,-0.743555293533571,-0.8755350383395033,-0.43116253046123765
,,,수입,2758805.0,1518666.0,1240139.0,3059801.0,1721730.0,1338071.0,3137413.0,1835330.0,1302083.0,3455473.0,2226916.0,1228557.0,3832443.0,2258689.0,1573754.0,4222393.0,2462226.0,1760167.0,4424294.0,2662303.0,1761991.0,4760829.0,2950452.0,1810377.0,5295268.0,3380503.0,1914765.0,5476418.0,3526664.0,1949754.0,4783425.0,3049367.0,1734058.0,5728996.25,3589839.0,2139157.25,6264468.0,3921008.0,2343460.0,6302068.25,3920003.75,2382064.5,6396637.75,4057973.75,2338664.0,6699280.25,4455625.0,2243655.25,6805386.75,4507761.5,2297625.25,7068669.25,4742724.0,2325945.25,7427809.25,5111257.75,2316551.5,7599456.25,5316241.75,2283214.5,7630363.0,5362943.0,2267420.0,7349973.0,5263935.75,2086037.25,7794100.25,5495591.75,2298508.5,7527130.25,5374442.5,2152687.75,7869924.25,5252483.0,2617441.25,8055488.75,5437365.25,2618123.5,8006539.75,5396511.25,2610028.5,-0.6076477979067407,-0.7513565508588949,-0.3091909147906913
,,,수출,2798963.0,2555219.0,243744.0,3077351.0,2730590.0,346761.0,3087092.0,2692136.0,394956.0,3480003.0,2926701.0,553302.0,3765546.0,3200811.0,564735.0,4183162.0,3602820.0,580342.0,4327662.0,3626506.0,701156.0,4694755.0,3766896.0,927859.0,5196316.0,4041627.0,1154689.0,5329678.0,4128602.0,1201076.0,4806619.0,3941587.0,865032.0,5684694.0,4670887.5,1013806.5,6100565.25,5003154.0,1097411.25,6246852.5,5142483.0,1104369.5,6393008.0,5283399.0,1109609.0,6681343.75,5353090.5,1328253.25,6658239.25,5280016.0,1378223.25,7012977.75,5482199.0,1530778.75,7490377.5,5631117.0,1859260.5,7543761.5,5797093.0,1746668.5,7574672.25,5778280.5,1796391.75,7435102.0,5461618.5,1973483.5,7718486.75,5913572.75,1804914.0,7477279.25,5579297.0,1897982.25,7895067.5,5832282.0,2062785.5,8058511.25,5890736.5,2167774.75,7987643.75,5832409.0,2155234.75,-0.8794118144340834,-0.9901563242558864,-0.5784733861301739
,,환적,계,862457.0,830660.0,31797.0,1264255.0,1209981.0,54274.0,3109865.0,2985836.0,124029.0,4203817.0,4038997.0,164820.0,4598036.0,4421355.0,176681.0,5156666.0,4939550.0,217116.0,5528077.0,5225934.0,302143.0,5668161.0,5405703.0,262458.0,6142776.0,5748313.0,394463.0,6153787.0,5678131.0,475656.0,5696645.0,5322543.0,374102.0,6611119.0,6194241.0,416878.0,7698936.25,7165587.25,533349.0,8485379.5,7973893.0,511486.5,9302501.25,8750913.25,551588.0,9964803.0,9275033.75,689769.25,1.06995115E7,9940399.25,759112.25,1.029447475E7,9679902.5,614572.25,1.069151875E7,1.008727825E7,604240.5,1.20413315E7,1.122348575E7,817845.75,1.22507105E7,1.122286875E7,1027841.75,1.246007475E7,1.149451475E7,965560.0,1.265820625E7,1.219114475E7,467061.5,1.21154555E7,1.146922875E7,646226.75,1.27071385E7,1.203368325E7,673455.25,1.385535375E7,1.303616725E7,819186.5,1.438539125E7,1.313855375E7,1246837.5,3.8255068009360738,0.7854033937774174,52.2043515121404
,,,입항,862457.0,830660.0,31797.0,1264255.0,1209981.0,54274.0,1615101.0,1549870.0,65231.0,2164058.0,2088650.0,75408.0,2352419.0,2272963.0,79456.0,2594224.0,2481581.0,112643.0,2784224.0,2624936.0,159288.0,2858280.0,2714550.0,143730.0,3097792.0,2889673.0,208119.0,3094705.0,2839496.0,255209.0,2891948.0,2687121.0,204827.0,3363084.0,3124082.5,239001.5,3948129.5,3673804.5,274325.0,4302291.0,4014725.75,287565.25,4711494.75,4387587.25,323907.5,5011928.0,4639463.5,372464.5,5369976.0,4968909.0,401067.0,5165804.5,4837402.0,328402.5,5386530.25,5054469.25,332061.0,6060999.25,5626710.0,434289.25,6171262.25,5626649.0,544613.25,6267741.25,5767171.25,500570.0,6364842.5,6116006.25,248836.25,6029214.25,5690353.0,338861.25,6358617.5,6016697.25,341920.25,6974775.25,6548838.0,425937.25,7214004.0,6561273.25,652730.75,3.4299133868148646,0.18988483147697188,53.245753922672876
,,,출항,0.0,0.0,0.0,0.0,0.0,0.0,1494764.0,1435966.0,58798.0,2039759.0,1950347.0,89412.0,2245617.0,2148392.0,97225.0,2562442.0,2457969.0,104473.0,2743853.0,2600998.0,142855.0,2809881.0,2691153.0,118728.0,3044984.0,2858640.0,186344.0,3059082.0,2838635.0,220447.0,2804697.0,2635422.0,169275.0,3248035.0,3070158.5,177876.5,3750806.75,3491782.75,259024.0,4183088.5,3959167.25,223921.25,4591006.5,4363326.0,227680.5,4952875.0,4635570.25,317304.75,5329535.5,4971490.25,358045.25,5128670.25,4842500.5,286169.75,5304988.5,5032809.0,272179.5,5980332.25,5596775.75,383556.5,6079448.25,5596219.75,483228.5,6192333.5,5727343.5,464990.0,6293363.75,6075138.5,218225.25,6086241.25,5778875.75,307365.5,6348521.0,6016986.0,331535.0,6880578.5,6487329.25,393249.25,7171387.25,6577280.5,594106.75,4.226515982631396,1.3865682861710749,51.076384761064396
,내항,합계,,264660.0,218641.0,46019.0,270338.0,231426.0,38912.0,288578.0,238925.0,49653.0,209403.0,171974.0,37429.0,268147.0,242454.0,25693.0,213256.0,182643.0,30613.0,172602.0,148518.0,24084.0,62477.0,52130.0,10347.0,27840.0,19792.0,8048.0,18714.0,15446.0,3268.0,101956.0,65455.0,36501.0,160147.5,99866.0,60281.5,203737.75,118606.0,85131.75,147549.5,87976.25,59573.25,39583.5,32068.0,7515.5,11130.5,9383.0,1747.5,9918.0,9086.5,831.5,9256.0,8598.5,657.5,165215.5,98426.75,66788.75,7889.0,7638.0,251.0,6546.0,6306.0,240.0,9204.0,8132.0,1072.0,13677.5,13375.0,302.5,15099.0,13749.5,1349.5,5443.5,4944.0,499.5,0.0,0.0,0.0,5756.0,3100.0,2656.0,0,0,0
,,연안,계,264660.0,218641.0,46019.0,270338.0,231426.0,38912.0,288578.0,238925.0,49653.0,209403.0,171974.0,37429.0,268147.0,242454.0,25693.0,213256.0,182643.0,30613.0,172602.0,148518.0,24084.0,62477.0,52130.0,10347.0,27840.0,19792.0,8048.0,18714.0,15446.0,3268.0,101956.0,65455.0,36501.0,160147.5,99866.0,60281.5,203737.75,118606.0,85131.75,147549.5,87976.25,59573.25,39583.5,32068.0,7515.5,11130.5,9383.0,1747.5,9918.0,9086.5,831.5,9256.0,8598.5,657.5,165215.5,98426.75,66788.75,7889.0,7638.0,251.0,6546.0,6306.0,240.0,9204.0,8132.0,1072.0,13677.5,13375.0,302.5,15099.0,13749.5,1349.5,5443.5,4944.0,499.5,0.0,0.0,0.0,5756.0,3100.0,2656.0,0,0,0
,,,입항,147161.0,115625.0,31536.0,150604.0,116429.0,34175.0,163625.0,119157.0,44468.0,109312.0,84304.0,25008.0,138961.0,122031.0,16930.0,107127.0,91586.0,15541.0,86301.0,74355.0,11946.0,31270.0,26870.0,4400.0,15721.0,9514.0,6207.0,11379.0,9062.0,2317.0,47543.0,29786.0,17757.0,73538.5,39589.0,33949.5,99970.0,40985.0,58985.0,74988.25,30657.5,44330.75,19869.5,14593.5,5276.0,5366.0,3806.0,1560.0,4924.5,4093.0,831.5,4419.0,3761.5,657.5,73693.25,45648.5,28044.75,3935.0,3684.0,251.0,3274.0,3034.0,240.0,4487.5,3415.5,1072.0,4107.0,3804.5,302.5,2527.5,1241.0,1286.5,986.5,546.5,440.0,0.0,0.0,0.0,2180.0,0.0,2180.0,0,,0
,,,출항,117499.0,103016.0,14483.0,119734.0,114997.0,4737.0,124953.0,119768.0,5185.0,100091.0,87670.0,12421.0,129186.0,120423.0,8763.0,106129.0,91057.0,15072.0,86301.0,74163.0,12138.0,31207.0,25260.0,5947.0,12119.0,10278.0,1841.0,7335.0,6384.0,951.0,54413.0,35669.0,18744.0,86609.0,60277.0,26332.0,103767.75,77621.0,26146.75,72561.25,57318.75,15242.5,19714.0,17474.5,2239.5,5764.5,5577.0,187.5,4993.5,4993.5,0.0,4837.0,4837.0,0.0,91522.25,52778.25,38744.0,3954.0,3954.0,0.0,3272.0,3272.0,0.0,4716.5,4716.5,0.0,9570.5,9570.5,0.0,12571.5,12508.5,63.0,4457.0,4397.5,59.5,0.0,0.0,0.0,3576.0,3100.0,476.0,0,0,0
